model_id,model_make_id,model_name,model_trim,model_year
22746,mazda,2,1.6 Exclusive,2005
22990,mazda,2,1.4 CD Exclusive,2005
23319,mazda,2,1.25 Comfort,2005
23408,mazda,2,1.4 CD Comfort,2005
23443,mazda,2,16 Top,2005
23822,mazda,2,1.4 Exclusive,2005
22703,mazda,2,1.4 CD Comfort,2006
23301,mazda,2,1.6i,2006
23314,mazda,2,1.4i Exclusive,2006
23790,mazda,2,1.25i Comfort,2006
22908,mazda,2,1.4 CD Active,2007
23604,mazda,2,1.25i Comfort,2007
23612,mazda,2,1.4i Exclusive,2007
23840,mazda,2,1.6i Top,2007
22869,mazda,2,1.3 MZR,2008
23072,mazda,2,1.4 CD Exclusive,2008
23131,mazda,2,1.6 Exclusive,2008
23385,mazda,2,1.5 MZR,2008
23511,mazda,2,1.2i Comfort,2008
23046,mazda,2,1.5 MZR,2009
23216,mazda,2,1.6 Exclusive,2009
23316,mazda,2,1.4 CD Exclusive,2009
23397,mazda,2,1.3 MZR,2009
23639,mazda,2,1.25i Comfort,2009
23749,mazda,2,1.5 Individual,2009
45433,mazda,2,1.5 Sport,2011
45434,mazda,2,1.5 Touring,2011
22754,mazda,3,Sedan,2005
22766,mazda,3,1.6 CD Comfort,2005
22810,mazda,3,,2005
23038,mazda,3,Sport 1.4 Comfort,2005
23101,mazda,3,Sport 2.0 Top,2005
23127,mazda,3,1.6 Exclusive,2005
23332,mazda,3,Sport 1.6 Exclusive,2005
23526,mazda,3,1.6 Comfort,2005
23628,mazda,3,S,2005
23648,mazda,3,i,2005
23724,mazda,3,2.0 Top,2005
23834,mazda,3,Sport 1.6 Comfort,2005
22950,mazda,3,i,2006
23008,mazda,3,1.6i,2006
23085,mazda,3,Sport 1.4 Comfort,2006
23275,mazda,3,1.6 Dynamic,2006
23389,mazda,3,2.0 Sport Individual,2006
23475,mazda,3,1.6 Original,2006
23482,mazda,3,2.0 Individual,2006
23486,mazda,3,1.6 Comfort,2006
23503,mazda,3,1.6 CD Comfort,2006
23679,mazda,3,Sport 1.6,2006
23699,mazda,3,1.6 Sport Dynamic,2006
23785,mazda,3,2.0 Top,2006
23841,mazda,3,Sport 2.0 Top,2006
23856,mazda,3,Sport 1.6 CD Comfort,2006
22681,mazda,3,Sport 1.6,2007
22832,mazda,3,2.0i Touring,2007
22922,mazda,3,2.0 Individual,2007
23043,mazda,3,2.0i Sport,2007
23055,mazda,3,Sport,2007
23264,mazda,3,1.6i,2007
23286,mazda,3,1.6 Sport Dynamic,2007
23427,mazda,3,Grand Touring,2007
23429,mazda,3,2.0 Top,2007
23451,mazda,3,1.6 Dynamic,2007
23481,mazda,3,Sport 1.4 Comfort,2007
23501,mazda,3,1.6 Sport Active,2007
23625,mazda,3,Sport 2.0 Top,2007
23677,mazda,3,1.6 Active,2007
23726,mazda,3,1.6 Comfort,2007
23730,mazda,3,1.6 Sport Original,2007
23783,mazda,3,Sport 1.6 CD Comfort,2007
23811,mazda,3,MPS,2007
22719,mazda,3,1.6 Original,2008
22730,mazda,3,1.6 Dynamic,2008
22732,mazda,3,1.6 Sport,2008
22764,mazda,3,2.0 CD,2008
22865,mazda,3,1.6 Active,2008
22892,mazda,3,2.0 Sport Individual,2008
22911,mazda,3,2.MPS DISi Turbo,2008
22938,mazda,3,1.6i,2008
22960,mazda,3,2.MPS,2008
23028,mazda,3,2.0i Touring,2008
23133,mazda,3,2.0 Individual,2008
23187,mazda,3,,2008
23188,mazda,3,1.4 Sport Comfort,2008
23208,mazda,3,1.6 Sport Dynamic,2008
23298,mazda,3,2.0i Sport,2008
23366,mazda,3,1.6 CD Comfort,2008
23447,mazda,3,2.0 Dynamic,2008
23462,mazda,3,1.6 Sport Exclusive,2008
23466,mazda,3,1.6 CD Sport Comfort,2008
23547,mazda,3,2.0 Top,2008
23669,mazda,3,2.0 Sport Top,2008
23705,mazda,3,2.0 Sport Dynamic,2008
23719,mazda,3,1.6 Sport Original,2008
23850,mazda,3,2.MPS Extreme,2008
22695,mazda,3,2.0i Sport,2009
22723,mazda,3,2.Grand Touring,2009
22812,mazda,3,2,2009
22821,mazda,3,2.0 Sport Top,2009
22827,mazda,3,1.6 Comfort,2009
22870,mazda,3,1.6 Exclusive,2009
22890,mazda,3,1.4 Sport Comfort,2009
22897,mazda,3,1.6 Dynamic,2009
22902,mazda,3,2.0 Top,2009
22916,mazda,3,1.6 Sport Exclusive,2009
22980,mazda,3,2.0 l MZR,2009
22989,mazda,3,2.0 Sport,2009
22998,mazda,3,1.6,2009
23061,mazda,3,2.0 Sport Individual,2009
23062,mazda,3,2.Individual,2009
23099,mazda,3,2.0 CD,2009
23137,mazda,3,1.6 Original,2009
23167,mazda,3,1.6 Sport Original,2009
23180,mazda,3,2.s Touring,2009
23247,mazda,3,2.s Grand Touring,2009
23256,mazda,3,1.6 i MZR,2009
23278,mazda,3,2.0i Touring,2009
23424,mazda,3,2.MPS,2009
23489,mazda,3,1.6 Sport Active,2009
23519,mazda,3,2.0 Dynamic,2009
23536,mazda,3,1.6 Sport,2009
23560,mazda,3,2.Sport Individual,2009
23573,mazda,3,2.0 Individual,2009
23589,mazda,3,2.Sport,2009
23675,mazda,3,1.6 i MZ-CD,2009
23732,mazda,3,2.2 l MZ-CD,2009
23735,mazda,3,1.6 CD Sport Comfort,2009
23740,mazda,3,2.0 Sport Dynamic,2009
23810,mazda,3,1.6 Sport Dynamic,2009
45435,mazda,3,2.0 i SV,2010
45436,mazda,3,2.0 i Sport,2010
45437,mazda,3,2.0 i Touring,2010
45438,mazda,3,2.5 s Sport,2010
45439,mazda,3,2.5 s Grand Touring,2010
45440,mazda,3,2.0 i SV,2011
45441,mazda,3,2.0 i Sport,2011
45442,mazda,3,2.0 i Touring,2011
45443,mazda,3,2.5 s Sport,2011
45444,mazda,3,2.5 s Grand Touring,2011
49191,mazda,3,2.0 i SV,2012
49192,mazda,3,2.0 i Sport,2012
49193,mazda,3,2.0 i Touring,2012
49194,mazda,3,2.5s Touring,2012
49195,mazda,3,2.5s Grand Touring,2012
22748,mazda,5,2.0 Exclusive,2005
